market,feature,mean_abs_shap
Market E,wind_speed_10m,0.8097118125937314
Market E,solar_forecast_diff_1,0.7807344257129994
Market E,wind_forecast_diff_6,0.7734947595557067
Market E,solar_forecast_roll_mean_24,0.737395925297244
Market E,load_forecast,0.6483393166647129
Market E,freezing_level_height,0.6342047272622806
Market E,wind_forecast_lag_6,0.6247468352776241
Market E,wind_forecast_lag_1,0.5828884790520337
Market E,wind_gust_speed_10m,0.49529047632633366
Market E,cloud_cover_total,0.4743704513497344
Market E,load_forecast_lag_1,0.4552690688239876
Market E,solar_forecast_lag_2,0.43406924967035776
Market E,solar_forecast_lag_6,0.4332671075390847
Market E,dew_point_temperature_2m,0.40359930979925823
Market E,wind_forecast_lag_2,0.40196110497645676
Market E,load_forecast_roll_mean_24,0.38272146719403866
Market E,residual_load_roll_mean_6,0.38049078327303787
Market E,load_forecast_lag_6,0.36181344668596055
Market E,solar_forecast,0.35654109693373187
Market E,wind_speed_80m,0.3536366276176647
Market E,residual_load_lag_6,0.3496903954746015
Market E,wind_forecast_roll_mean_6,0.30973353748098764
Market E,temp_dew_spread,0.30558144290305067
Market E,relative_humidity_2m,0.3024906358472414
Market E,wind_dir_sin,0.29952175504195866
Market E,ws_ratio_80_10,0.296403275077523
Market E,wind_forecast_diff_1,0.2825683941143848
Market E,residual_load_lag_2,0.2811769112311923
Market E,wind_forecast_roll_mean_24,0.2615979387234668
Market E,convective_inhibition,0.2597797814021974
Market E,apparent_temperature_2m,0.2540552689715718
Market E,air_temperature_2m,0.24547703984617703
Market E,residual_load_lag_1,0.24060128747860454
Market E,convective_available_potential_energy,0.23300115306209448
Market E,wind_direction_80m,0.23232137767447805
Market E,load_forecast_lag_2,0.20329261577626173
Market E,load_forecast_roll_mean_6,0.20139358197109317
Market E,clear_sky_proxy,0.19579573228073552
Market E,residual_load_roll_mean_24,0.1932240812676279
Market E,global_horizontal_irradiance,0.1874738658666972
Market E,solar_forecast_roll_mean_6,0.17982350172285297
Market E,solar_forecast_lag_1,0.16607857916832763
Market E,gustiness_10m,0.14451338973883546
Market E,gust_ratio_10m,0.12374489744632454
Market E,cloud_cover_low,0.11177789362025012
Market E,diffuse_horizontal_irradiance,0.10843350506297403
Market E,direct_normal_irradiance,0.08682128788212057
Market E,cloud_low_share,0.05721505921802108
Market E,precipitation_amount,0.056586236308167746
Market F,global_pred_feature,11.30900440057484
Market F,load_forecast_roll_mean_24,1.6939122660878554
Market F,wind_speed_10m,1.6819166450984755
Market F,wind_speed_80m,1.582639019705007
Market F,solar_forecast_roll_mean_24,1.3673756378334618
Market F,freezing_level_height,0.8507480884759899
Market F,wind_forecast,0.7198706042513023
Market F,wind_dir_cos,0.6941013476402835
Market F,convective_inhibition,0.6475218701499657
Market F,wind_forecast_roll_mean_24,0.6475182856473485
Market F,load_forecast,0.6442247830985902
Market F,wind_gust_speed_10m,0.6378941104946889
Market F,residual_load_lag_6,0.5766778976417268
Market F,apparent_temperature_2m,0.5591451277168648
Market F,ws_ratio_80_10,0.5556950602126685
Market F,convective_available_potential_energy,0.5474393592072567
Market F,cloud_cover_total,0.5177312216744453
Market F,temp_apparent_gap,0.4748527483281651
Market F,wind_forecast_lag_1,0.4717670585266
Market F,load_forecast_lag_6,0.4372087380332175
Market F,diffuse_horizontal_irradiance,0.4360049770075898
Market F,air_temperature_2m,0.40977234811445884
Market F,wind_forecast_diff_6,0.39061565739438586
Market F,load_forecast_lag_1,0.3867600406084957
Market F,dew_point_temperature_2m,0.3854817825967213
Market F,wind_direction_80m,0.38247877070021147
Market F,residual_load_roll_mean_24,0.37752047354374896
Market F,wind_forecast_diff_1,0.35235029624382525
Market F,wind_dir_sin,0.3368757679527207
Market F,relative_humidity_2m,0.3366170506518303
Market F,wind_forecast_lag_2,0.31472380818342005
Market F,cloud_low_share,0.3137114844409016
Market F,temp_dew_spread,0.30502549311174076
Market F,gustiness_10m,0.27325287580415725
Market F,clear_sky_proxy,0.26759919015410644
Market F,solar_forecast_lag_6,0.24525183157470323
Market F,residual_load_lag_2,0.2441314771087873
Market F,gust_ratio_10m,0.2305367205255082
Market F,solar_forecast_roll_mean_6,0.22404318609122115
Market F,cloud_cover_low,0.21850677653953463
Market F,solar_forecast_lag_2,0.21114568581900373
Market F,residual_load_roll_mean_6,0.20731164912676803
Market F,residual_load_lag_1,0.19961270844652293
Market F,solar_forecast_diff_1,0.17779783775798602
Market F,wind_forecast_lag_6,0.17639127044024047
Market F,solar_forecast_lag_1,0.17514756825368735
Market F,direct_normal_irradiance,0.17507833009155072
Market F,load_forecast_lag_2,0.1555678318828912
Market F,load_forecast_roll_mean_6,0.15058651109101404
Market F,wind_forecast_roll_mean_6,0.13858154663413716
Market F,solar_forecast,0.10991302006399034
Market F,global_horizontal_irradiance,0.09656655054957464
Market F,precipitation_amount,0.02295469189640079
