fold,group_id,group_size,baseline_rmse,rmse_permuted,delta
4,corr_3191339436,1,62.8859764735929,61.77195844461295,-1.1140180289799488
4,corr_3285871255,1,62.8859764735929,93.04734369288957,30.16136721929667
4,corr_3385211174,1,62.8859764735929,62.0233121470514,-0.8626643265414984
4,corr_3610666499,1,62.8859764735929,63.036168894207215,0.15019242061431726
4,corr_4124592631,1,62.8859764735929,64.84617338545733,1.9601969118644362
4,corr_4430662294,1,62.8859764735929,60.552233747892025,-2.3337427257008727
4,corr_4744811163,1,62.8859764735929,62.10632310643539,-0.7796533671575077
4,corr_4926823990,1,62.8859764735929,76.02405894129221,13.138082467699313
4,corr_5023244165,1,62.8859764735929,64.1189863599742,1.2330098863813035
4,corr_5451305703,1,62.8859764735929,63.65537415879394,0.7693976852010422
4,corr_6196007373,3,62.8859764735929,62.672522824713454,-0.21345364887944385
4,corr_6296024613,1,62.8859764735929,63.15505266861055,0.2690761950176537
4,corr_6339531555,1,62.8859764735929,62.15805245712917,-0.7279240164637244
4,corr_6758112138,1,62.8859764735929,62.41764397833018,-0.4683324952627146
4,corr_6816881002,1,62.8859764735929,62.76744116888167,-0.11853530471123008
4,corr_6978208519,1,62.8859764735929,61.27028929823549,-1.615687175357408
4,corr_7206706905,1,62.8859764735929,62.75958597200112,-0.12639050159177856
4,corr_8068499262,1,62.8859764735929,62.90153525918676,0.015558785593860591
4,corr_8176627145,1,62.8859764735929,63.267717314979954,0.38174084138705666
4,corr_8258561280,1,62.8859764735929,57.69315918239372,-5.192817291199177
4,corr_8634248168,4,62.8859764735929,71.84324325983256,8.957266786239664
4,corr_8639525639,1,62.8859764735929,84.4767590789676,21.590782605374706
4,corr_9128207942,1,62.8859764735929,64.5060145395654,1.6200380659725013
4,corr_9340067769,2,62.8859764735929,63.94474565019448,1.0587691766015794
4,corr_9476414212,1,62.8859764735929,72.07104338645895,9.185066912866056
4,corr_9625579007,1,62.8859764735929,63.031488270364996,0.14551179677209802
4,corr_9810209215,1,62.8859764735929,63.25683802184059,0.3708615482476958
4,corr_9826885691,1,62.8859764735929,59.61736976178833,-3.2686067118045656
4,corr_9954955942,1,62.8859764735929,90.06475507616398,27.17877860257108
4,corr_9989339831,1,62.8859764735929,63.18192873054254,0.29595225694964
5,corr_0236486778,1,81.1418092947197,80.37589310070832,-0.7659161940113819
5,corr_0483385472,1,81.1418092947197,81.12225077901601,-0.019558515703693047
5,corr_0886650671,4,81.1418092947197,99.99335179766373,18.851542502944028
5,corr_1192924449,1,81.1418092947197,83.30063089299675,2.1588215982770436
5,corr_1343014976,2,81.1418092947197,88.8599980148202,7.7181887201005
5,corr_1357953899,1,81.1418092947197,80.75940819074566,-0.3824011039740469
5,corr_1415424846,1,81.1418092947197,81.17110114999988,0.02929185528017797
5,corr_1623867630,1,81.1418092947197,82.03834379887653,0.8965345041568185
5,corr_2275077728,1,81.1418092947197,116.21939196834919,35.07758267362948
5,corr_2509418395,1,81.1418092947197,81.07428298986649,-0.06752630485321731
5,corr_2560062090,1,81.1418092947197,80.90710450539201,-0.23470478932769367
5,corr_3117243768,1,81.1418092947197,117.7597540871686,36.617944792448895
5,corr_3191339436,1,81.1418092947197,82.26368200456548,1.1218727098457748
5,corr_3285871255,1,81.1418092947197,109.88997659969208,28.74816730497237
5,corr_3385211174,1,81.1418092947197,81.81735533703116,0.6755460423114528
5,corr_3610666499,1,81.1418092947197,81.38714447650716,0.2453351817874534
5,corr_4124592631,1,81.1418092947197,81.50603001966915,0.36422072494944757
5,corr_4430662294,1,81.1418092947197,81.63377626371806,0.491966968998355
5,corr_4744811163,1,81.1418092947197,81.00583823337101,-0.13597106134869819
5,corr_4926823990,1,81.1418092947197,81.30246543212318,0.16065613740347828
5,corr_5023244165,1,81.1418092947197,80.86780570874937,-0.27400358597033403
5,corr_5451305703,1,81.1418092947197,81.43576262716711,0.2939533324474013
5,corr_6196007373,3,81.1418092947197,88.56075187150141,7.418942576781703
5,corr_6296024613,1,81.1418092947197,80.6863842516256,-0.4554250430941096
5,corr_6339531555,1,81.1418092947197,78.7449113997664,-2.3968978949533124
5,corr_6758112138,1,81.1418092947197,81.46363695880962,0.32182766408990915
5,corr_6816881002,1,81.1418092947197,80.81355433243765,-0.32825496228205964
5,corr_6978208519,1,81.1418092947197,78.09155106808505,-3.0502582266346536
5,corr_7206706905,1,81.1418092947197,79.17145527476505,-1.9703540199546552
5,corr_8068499262,1,81.1418092947197,80.60083686927777,-0.5409724254419359
5,corr_8176627145,1,81.1418092947197,80.72897638952891,-0.41283290519079685
5,corr_8258561280,1,81.1418092947197,81.38393117553467,0.24212188081496322
5,corr_8634248168,4,81.1418092947197,99.40354756631913,18.261738271599427
5,corr_8639525639,1,81.1418092947197,95.96757758176776,14.82576828704805
5,corr_9128207942,1,81.1418092947197,82.43109175060798,1.2892824558882694
5,corr_9340067769,2,81.1418092947197,81.89364486439118,0.7518355696714707
5,corr_9476414212,1,81.1418092947197,81.34946763806174,0.20765834334203248
5,corr_9625579007,1,81.1418092947197,80.86291818192471,-0.27889111279499446
5,corr_9810209215,1,81.1418092947197,79.30479290952748,-1.8370163851922285
5,corr_9826885691,1,81.1418092947197,81.17842194529682,0.03661265057711205
5,corr_9954955942,1,81.1418092947197,86.89050563421918,5.748696339499475
5,corr_9989339831,1,81.1418092947197,81.096370261478,-0.045439033241706284
