iter	Passed	Remaining
832	13712	35672
833	13728	35654
834	13743	35635
835	13775	35658
836	13794	35648
837	13810	35629
838	13824	35608
839	13840	35589
840	13855	35570
841	13870	35550
842	13886	35532
843	13901	35512
844	13916	35491
845	13932	35472
846	13948	35455
847	13963	35434
848	13979	35417
849	13993	35395
850	14008	35375
851	14023	35355
852	14040	35339
853	14055	35320
854	14070	35300
855	14085	35280
856	14101	35263
857	14119	35250
858	14134	35230
859	14150	35212
860	14166	35192
861	14182	35177
862	14198	35159
863	14213	35140
864	14248	35168
865	14267	35156
866	14283	35139
867	14298	35121
868	14314	35101
869	14331	35087
870	14347	35068
871	14362	35049
872	14379	35034
873	14397	35022
874	14413	35003
875	14430	34988
876	14445	34969
877	14462	34953
878	14477	34934
879	14494	34919
880	14513	34908
881	14531	34894
882	14547	34877
883	14563	34859
884	14577	34838
885	14592	34818
886	14608	34799
887	14624	34783
888	14641	34768
889	14657	34750
890	14673	34731
891	14688	34712
892	14703	34693
893	14719	34673
894	14734	34654
895	14752	34640
896	14768	34623
897	14782	34601
898	14797	34581
899	14814	34566
900	14830	34548
901	14845	34529
902	14863	34516
903	14879	34500
904	14897	34485
905	14913	34470
906	14931	34456
907	14948	34440
908	14966	34428
909	14983	34413
910	14998	34393
911	15012	34371
912	15028	34353
913	15088	34435
914	15103	34416
915	15120	34399
916	15136	34383
917	15162	34387
918	15178	34370
919	15193	34350
920	15209	34333
921	15224	34313
922	15241	34297
923	15257	34279
924	15275	34266
925	15290	34247
926	15306	34228
927	15322	34211
928	15337	34192
929	15353	34174
930	15368	34154
931	15387	34143
932	15401	34122
933	15416	34102
934	15431	34081
935	15447	34064
936	15464	34049
937	15481	34032
938	15496	34013
939	15512	33995
940	15527	33976
941	15544	33959
942	15559	33940
943	15576	33924
944	15591	33905
945	15608	33889
946	15624	33873
947	15641	33857
948	15657	33839
949	15673	33821
950	15690	33806
951	15705	33786
952	15720	33766
953	15736	33749
954	15753	33734
955	15770	33718
956	15785	33698
957	15802	33682
958	15818	33664
959	15833	33646
960	15849	33628
961	15865	33611
962	15881	33593
963	15896	33573
964	15911	33554
965	15929	33540
966	15944	33521
967	15960	33503
968	15975	33485
969	15991	33466
970	16005	33445
971	16021	33427
972	16036	33409
973	16051	33388
974	16067	33371
975	16082	33352
976	16097	33331
977	16112	33312
978	16130	33299
979	16146	33282
980	16163	33265
981	16180	33249
982	16196	33233
983	16213	33218
984	16228	33197
985	16243	33179
986	16259	33162
987	16274	33141
988	16289	33121
989	16305	33105
990	16322	33090
991	16337	33071
992	16353	33053
993	16369	33035
994	16386	33020
995	16402	33002
996	16420	32988
997	16436	32971
998	16451	32952
999	16467	32934
1000	16482	32915
1001	16498	32897
1002	16513	32879
1003	16530	32862
1004	16546	32846
1005	16561	32827
1006	16576	32808
1007	16593	32791
1008	16609	32773
1009	16625	32756
1010	16639	32736
1011	16656	32720
1012	16672	32703
1013	16687	32683
1014	16703	32666
1015	16720	32651
1016	16737	32636
1017	16754	32619
1018	16771	32604
1019	16787	32587
1020	16802	32569
1021	16818	32550
1022	16834	32533
1023	16850	32515
1024	16865	32497
1025	16881	32480
1026	16898	32464
1027	16914	32446
1028	16929	32428
1029	16944	32409
1030	16960	32390
1031	16975	32371
1032	16989	32351
1033	17005	32333
1034	17021	32316
1035	17038	32299
1036	17055	32284
1037	17071	32267
1038	17087	32250
1039	17101	32230
1040	17117	32211
1041	17133	32195
1042	17149	32178
1043	17165	32161
1044	17181	32143
1045	17196	32124
1046	17211	32104
1047	17226	32085
1048	17243	32070
1049	17260	32054
1050	17275	32036
1051	17291	32018
1052	17305	31998
1053	17321	31981
1054	17336	31962
1055	17352	31944
1056	17368	31927
1057	17384	31910
1058	17400	31892
1059	17415	31872
1060	17429	31852
1061	17444	31834
1062	17459	31815
1063	17474	31795
1064	17490	31779
1065	17506	31760
1066	17520	31741
1067	17535	31721
1068	17551	31704
1069	17566	31684
1070	17582	31667
1071	17597	31648
1072	17612	31630
1073	17627	31611
1074	17643	31594
1075	17659	31576
1076	17674	31558
1077	17690	31540
1078	17707	31524
1079	17722	31505
1080	17739	31491
1081	17755	31474
1082	17770	31455
1083	17786	31437
1084	17801	31419
1085	17816	31401
1086	17832	31382
1087	17848	31366
1088	17865	31350
1089	17882	31335
1090	17897	31316
1091	17912	31297
1092	17926	31277
1093	17941	31258
1094	17957	31241
1095	17972	31222
1096	17987	31202
1097	18001	31183
1098	18018	31167
1099	18035	31151
1100	18050	31132
1101	18065	31114
1102	18080	31095
1103	18095	31077
1104	18111	31059
1105	18126	31040
1106	18141	31023
1107	18156	31004
1108	18173	30988
1109	18188	30969
1110	18206	30955
1111	18223	30940
1112	18240	30926
1113	18256	30908
1114	18272	30891
1115	18288	30874
1116	18303	30855
1117	18318	30837
1118	18333	30818
1119	18350	30802
1120	18365	30783
1121	18383	30770
1122	18400	30754
1123	18416	30737
1124	18432	30720
1125	18448	30704
1126	18465	30687
1127	18481	30670
1128	18497	30653
1129	18514	30638
1130	18531	30623
1131	18548	30607
1132	18568	30598
1133	18585	30582
1134	18603	30567
1135	18618	30550
1136	18634	30532
1137	18650	30516
1138	18668	30502
1139	18686	30488
1140	18702	30471
1141	18718	30454
1142	18740	30447
1143	18756	30430
1144	18774	30416
1145	18790	30399
1146	18806	30382
1147	18822	30364
1148	18838	30348
1149	18854	30330
1150	18870	30313
1151	18886	30296
1152	18903	30281
1153	18919	30264
1154	18934	30245
1155	18950	30228
1156	18966	30211
1157	18982	30195
1158	18999	30179
