feature,mean_abs_shap
wind_forecast_roll_mean_72,0.42079064570583546
load_forecast_lag_1,0.41621030154688515
solar_forecast_lag_24,0.40397340767116446
load_forecast_diff_24,0.3973490766891683
cloud_cover_total_xmk_mean,0.393678806766708
load_forecast_diff_1,0.39168413787280537
temp_apparent_gap,0.3869201644748294
convective_available_potential_energy,0.3863941176018712
wind_forecast_lag_168,0.37266529672979
relative_humidity_2m,0.3687625997379453
load_forecast_diff_6,0.3408353768869727
dow_cos,0.33614056644405776
air_temperature_2m_xmk_diff,0.3324579681167582
temp_dew_spread,0.30862701125815434
wind_forecast_lag_48,0.3043224357754604
load_forecast_roll_std_72,0.30421073982516167
lifted_index,0.2996358772522223
stress_ratio_1819,0.29522644619380994
solar_forecast_roll_std_6,0.29415340742539375
solar_forecast_roll_mean_6,0.2862547150424773
wind_forecast_roll_mean_6,0.2827544612856552
wind_speed_80m_xmk_std,0.2797065087743744
solar_forecast_lag_1,0.2785086269640831
convective_inhibition,0.27698177376961197
wind_forecast,0.2631252531168471
target_profile_mh_std,0.2585560276775913
residual_load_roll_std_6,0.2569448481293897
load_forecast_lag_48,0.2525810731708054
dow_x_market,0.24612681357330468
stress_ratio_sq,0.23345823070224364
diffuse_horizontal_irradiance,0.23050257981888186
load_forecast_xmk_mean,0.22727548052052512
global_horizontal_irradiance,0.2266746218545439
wind_forecast_xmk_mean,0.22521968974920475
wind_dir_sin,0.2160930177082381
residual_load_lag_6,0.2099938572516813
residual_load_roll_mean_6,0.20377934973438766
solar_forecast_lag_6,0.200526828886347
solar_forecast_lag_48,0.2002303105452184
solar_forecast_lag_2,0.19729124717956742
dew_point_temperature_2m,0.18865958810565073
gustiness_10m,0.17762663928186842
cloud_cover_total_xmk_std,0.1770883993230135
direct_normal_irradiance,0.17099284495080044
load_forecast_lag_24,0.16892981038905047
month_cos,0.16831967765213612
visibility,0.16754242483720025
solar_forecast_diff_6,0.1644812858567567
wind_forecast_lag_1,0.1602367196744113
load_forecast_roll_std_6,0.14324369255135122
dow,0.12608496339433323
cloud_cover_low,0.12150569610108543
wind_speed_80m_xmk_z,0.11981442570096404
cloud_cover_total_xmk_diff,0.11690378270638532
wind_share,0.1159497221635575
cloud_low_share,0.11474679248054562
wind_direction_80m,0.11277829809978857
month,0.11140568381595409
load_forecast_lag_6,0.11088482999934805
hour_sin,0.10739126970653848
cloud_cover_mid,0.10601802083127287
is_winter,0.10561706311670727
air_temperature_2m_xmk_z,0.10492459621908713
hour_cos,0.08554007075477377
cloud_x_solar,0.07594880221442268
wind_speed_80m_xmk_diff,0.07541712856956513
cloud_cover_total_xmk_z,0.07466660903787715
gust_ratio_10m,0.07378924704710704
clear_sky_proxy,0.07144918099054236
hour,0.07117697047800456
hour_x_market,0.06790435997831297
cloud_cover_total,0.0649705154080491
dow_sin,0.06421677881379331
cloud_cover_high,0.06413448509664756
wind80_x_residual_load,0.06202793277335928
stress_ratio,0.059709479567293555
wind_forecast_xmk_diff,0.059163513034245586
solar_forecast_xmk_diff,0.058418250424388626
precipitation_amount_xmk_mean,0.05761286823239101
residual_load_xmk_diff,0.056237931427369145
wind_forecast_xmk_z,0.053550191205934176
load_forecast_xmk_diff,0.05331761298218455
precipitation_amount,0.04515536681247063
is_peak_17_20,0.024772760447433508
precipitation_amount_xmk_z,0.015883760103995545
solar_forecast_xmk_z,0.013455619769025994
precipitation_amount_xmk_std,0.012771656716683311
is_evening_peak,0.007527935993104741
load_forecast_xmk_z,0.006238875559051046
precipitation_amount_xmk_diff,0.004709076615904141
residual_load_xmk_z,0.003970141830623219
is_18_19,0.0
wind_forecast_xmk_std,0.0
is_weekend,0.0
solar_forecast_xmk_std,0.0
residual_load_xmk_std,0.0
is_morning_peak,0.0
is_night,0.0
meteo_missing_any,0.0
meteo_missing_count,0.0
load_forecast_xmk_std,0.0
