market,feature,mean_abs_shap
Market B,wind_direction_80m,0.3054645593882011
Market B,solar_forecast_roll_std_72,0.3018957066194824
Market B,residual_load_diff_1,0.30103469745290573
Market B,solar_share,0.3010260623953503
Market B,residual_load_lag_1,0.2973998770089714
Market B,load_forecast_roll_std_24,0.2907258361158161
Market B,wind_forecast_lag_6,0.2904197902057202
Market B,wind_speed_80m_xmk_std,0.2894653737085086
Market B,gustiness_10m,0.28649748637421907
Market B,solar_forecast_roll_mean_24,0.28354763001160166
Market B,solar_forecast_lag_1,0.2746776675565411
Market B,solar_forecast_lag_48,0.2706302071775302
Market B,net_load_share,0.2665636269186391
Market B,direct_normal_irradiance,0.2656497642323043
Market B,lifted_index,0.2477519208102661
Market B,load_forecast_xmk_mean,0.24668874277630096
Market B,stress_ratio_sq,0.24499575177515676
Market B,wind_forecast_diff_1,0.24469340062781203
Market B,hour_sin,0.24443081324400429
Market B,load_forecast_roll_mean_72,0.24127806934151344
Market B,residual_load_diff_24,0.23660123671550398
Market B,temp_apparent_gap,0.2361196611659498
Market B,wind_speed_80m_xmk_diff,0.22753583599482075
Market B,solar_forecast_roll_std_6,0.22408401687447577
Market B,wind_forecast_roll_std_24,0.21954886810451124
Market B,wind_forecast_lag_24,0.21752543202960234
Market B,wind_forecast_roll_mean_72,0.21079310794383305
Market B,residual_load_lag_24,0.21073067548748842
Market B,wind_forecast_roll_std_6,0.20864255193290762
Market B,cloud_cover_total_xmk_mean,0.20549004766510057
Market B,residual_load_roll_mean_72,0.20325376453790722
Market B,wind_forecast_lag_48,0.20121950926670532
Market B,load_forecast_diff_24,0.20065852502964168
Market B,wind_forecast_lag_168,0.1964021229534665
Market B,solar_forecast_roll_mean_72,0.1963734587397792
Market B,residual_load_roll_std_24,0.1956141721611991
Market B,residual_load_roll_std_72,0.19362677602633124
Market B,wind_share,0.19157646480964086
Market B,load_forecast_lag_48,0.19138168775039535
Market B,dew_point_temperature_2m,0.1898828241721657
Market B,wet_bulb_temperature_2m,0.1884126620569235
Market B,residual_load_roll_mean_6,0.1883599776217614
Market B,solar_forecast_lag_2,0.18805908322493728
Market B,month_sin,0.18797284549177187
Market B,solar_forecast_xmk_mean,0.18432888831869504
Market B,clear_sky_proxy,0.17959395563238614
Market B,wind_forecast_roll_mean_6,0.17832659549833227
Market B,solar_forecast_diff_6,0.17684741786208608
Market B,load_forecast_roll_mean_6,0.17289962353747473
Market B,cloud_low_share,0.17204053244959905
Market B,residual_load_xmk_mean,0.17134541558222163
Market B,solar_forecast_lag_24,0.16527203235069382
Market B,ws_ratio_80_10,0.1632153461132585
Market B,cloud_cover_total_xmk_z,0.16115269296197066
Market B,wind_speed_80m_xmk_z,0.15874777477432914
Market B,air_temperature_2m_xmk_diff,0.1564289438917798
Market B,cloud_cover_total_xmk_diff,0.15058556934620004
